34.043972, -118.250786, 0.0, 1309927965, 50, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309927975, 50, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309928018, 50, Hawthorne, CA
34.043972, -118.250786, 0.0, 1309928037, 50, Hawthorne, CA
34.05068, -118.249855, 0.0, 1309967281, 50, Hawthorne, CA
34.05068, -118.249855, 0.0, 1309967329, 50, Hawthorne, CA
34.102604, -118.32967, 0.0, 1310059182, 50, Burbank, CA
34.102604, -118.32967, 0.0, 1310059199, 50, Burbank, CA
34.055058, -118.23417, 0.0, 1310084959, 50, Hawthorne, CA
34.055058, -118.23417, 0.0, 1310084987, 50, Hawthorne, CA
34.055058, -118.23417, 0.0, 1310085048, 50, Hawthorne, CA
34.055058, -118.23417, 0.0, 1310085154, 50, Hawthorne, CA
34.01392, -118.20076, 0.0, 1310088605, 50, Hawthorne, CA
34.01392, -118.20076, 0.0, 1310088613, 50, Hawthorne, CA
33.900703, -118.03379, 0.0, 1310090043, 50, Fullerton, CA
35.197536, -111.64981, 0.0, 1310128472, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128477, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128484, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128501, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128511, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128524, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128545, 50, Flagstaff, AZ
35.197536, -111.64981, 0.0, 1310128547, 50, Flagstaff, AZ
35.205788, -111.41764, 0.0, 1310129627, 50, Flagstaff, AZ
35.08732, -110.9062, 0.0, 1310131570, 50, Winslow, AZ
34.81532, -107.03709, 0.0, 1310145532, 50, Albuquerque, NM
35.65868, -105.949776, 0.0, 1310154493, 50, Santa Fe, NM
35.65868, -105.949776, 0.0, 1310154516, 50, Santa Fe, NM
35.65868, -105.949776, 0.0, 1310154626, 50, Santa Fe, NM
35.65868, -105.949776, 0.0, 1310154629, 50, Santa Fe, NM
35.65868, -105.949776, 0.0, 1310154637, 50, Santa Fe, NM
35.670155, -105.965096, 0.0, 1310162185, 50, Santa Fe, NM
35.671295, -105.96384, 0.0, 1310224623, 50, Santa Fe, NM
35.671295, -105.96384, 0.0, 1310225094, 50, Santa Fe, NM
35.671295, -105.96384, 0.0, 1310225511, 50, Santa Fe, NM
35.671295, -105.96384, 0.0, 1310225548, 50, Santa Fe, NM
