33.52943, -113.11478, 0.0, 1309884811, 0, Gila Bend, AZ
33.53569, -113.14587, 0.0, 1309884992, 0, Gila Bend, AZ
33.54307, -113.18081, 0.0, 1309885176, 0, Gila Bend, AZ
33.540524, -113.16729, 0.0, 1309885212, 0, Gila Bend, AZ
33.6027, -113.57347, 0.0, 1309886106, 0, Gila Bend, AZ
33.625572, -114.495834, 0.0, 1309888967, 0, Blythe, CA
33.60605, -114.667816, 0.0, 1309889339, 0, Blythe, CA
33.608994, -114.75619, 0.0, 1309889523, 0, Blythe, CA
33.611004, -114.79849, 0.0, 1309889815, 0, Blythe, CA
33.669174, -115.19977, 0.0, 1309890068, 0, Blythe, CA
33.60961, -114.75098, 0.0, 1309890411, 0, Blythe, CA
33.60961, -114.75098, 0.0, 1309890475, 0, Blythe, CA
33.611004, -114.79849, 0.0, 1309890615, 0, Blythe, CA
33.611004, -114.79849, 0.0, 1309890790, 0, Blythe, CA
33.71055, -115.38385, 0.0, 1309891170, 0, Blythe, CA
33.71055, -115.38385, 0.0, 1309891185, 0, Blythe, CA
33.6604, -115.73558, 0.0, 1309892413, 0, Thermal, CA
33.675934, -115.96983, 0.0, 1309892604, 0, Thermal, CA
33.675934, -115.96983, 0.0, 1309893007, 0, Thermal, CA
33.675934, -115.96983, 0.0, 1309893568, 0, Thermal, CA
33.660835, -115.821625, 0.0, 1309893955, 0, Thermal, CA
33.731754, -116.371254, 0.0, 1309894147, 0, Palm Springs, CA
33.721844, -116.2891, 0.0, 1309894335, 0, Thermal, CA
33.721844, -116.2891, 0.0, 1309894549, 0, Thermal, CA
33.74373, -116.28833, 0.0, 1309894831, 0, Thermal, CA
33.77538, -116.339165, 0.0, 1309895017, 0, Palm Springs, CA
33.79962, -116.38629, 0.0, 1309895209, 0, Palm Springs, CA
33.855286, -116.47057, 0.0, 1309895523, 0, Palm Springs, CA
33.910896, -116.59111, 0.0, 1309895906, 0, Palm Springs, CA
33.918488, -116.62309, 0.0, 1309896193, 0, Palm Springs, CA
33.92311, -116.65019, 0.0, 1309896506, 0, Palm Springs, CA
33.91914, -116.79974, 0.0, 1309896686, 0, Beaumont, CA
33.928616, -116.86983, 0.0, 1309896910, 0, Beaumont, CA
33.92459, -116.90589, 0.0, 1309896914, 0, Beaumont, CA
33.930813, -116.956116, 0.0, 1309897106, 0, Beaumont, CA
34.002777, -117.053894, 0.0, 1309897491, 0, Beaumont, CA
34.002777, -117.053894, 0.0, 1309897511, 0, Beaumont, CA
34.040394, -117.15448, 0.0, 1309897815, 0, Norton AFB, CA
34.054592, -117.16337, 0.0, 1309897870, 0, Norton AFB, CA
34.071297, -117.29334, 0.0, 1309898270, 0, Norton AFB, CA
34.068363, -117.388664, 0.0, 1309898553, 0, Riverside, CA
34.0644, -117.499794, 0.0, 1309898849, 0, Ontario Intl, CA
34.072906, -118.05288, 0.0, 1309900847, 0, El Monte, CA
34.093044, -118.102684, 0.0, 1309900847, 0, El Monte, CA
34.072956, -118.07241, 0.0, 1309901064, 0, El Monte, CA
34.081043, -118.07711, 0.0, 1309901246, 0, El Monte, CA
34.08093, -118.07787, 0.0, 1309901428, 0, El Monte, CA
34.080925, -118.07722, 0.0, 1309901609, 0, El Monte, CA
34.080593, -118.07726, 0.0, 1309901814, 0, El Monte, CA
